Gene Symbol,probe1,probe2,probe3,probe4,probe5,probe6,,probe1,probe2,probe3,probe4,probe5,probe6,,probe1,probe2,probe3,probe4,probe5,probe6
CLTA,0.1240885,0.1740033,0.0285772,0.0473746,0.3777268,0.3609616,,0.1091509,0.145912,0.0243015,0.0234777,0.3986066,0.3891331,,0.1049146,0.1226694,0.022597,-0.022597,0.3793067,0.5649248
APG-1,0.1573289,0.150733,0.0260069,0.0300901,0.4399808,0.4655165,,0.1867639,0.131564,0.0261502,0.0242262,0.378785,0.3438549,,0.1349995,0.052634,0.016698,0.009161,0.2863638,0.2896534
CLSTN3,0.0884541,0.2333833,0.039958,0.0347731,0.2929633,0.2394065,,0.0909129,0.1763584,0.0418327,0.0295626,0.3307515,0.2840553,,0.0644065,0.0983047,0.0144436,0.0127487,0.2666534,0.180692
APLP1,0.1275139,0.1991694,0.0145898,0.0290933,0.3219753,0.31318,,0.1453065,0.2169953,0.015527,0.0275947,0.2823713,0.2903739,,0.1360206,0.1107097,0.0101378,0.0149381,0.2217887,0.2057093
APOL4,0.3176993,0.2526639,0.0598902,0.049051,0.5312596,0.1128515,,0.3652653,0.2377841,0.060083,0.0586857,0.4772121,0.1064398,,0.2951778,0.1132404,0.0377991,0.0299569,0.4376694,0.0881456
KIFAP3,0.1007663,0.145871,0.0173417,0.016229,0.3293563,0.1467394,,0.1094622,0.0867193,0.0096231,0.012924,0.3557731,0.1681516,,0.0964466,0.0430585,0.0093836,0.0164969,0.3119663,0.1460509
TSPYL5,0.1150969,0.0989988,0.0147111,0.0233958,0.3513501,0.1707053,,0.1024128,0.1079914,0.0119218,0.0283621,0.3383289,0.1349631,,0.0975135,0.0620096,0.0063313,0.0173041,0.3048976,0.0855431
EIF4EBP1,0.0850693,0.0968277,0.0158129,0.0162377,0.4098233,0.1438417,,0.098321,0.1078154,0.0184834,0.010372,0.3736571,0.1560317,,0.0766429,0.0923761,0.0203381,0.0079189,0.2576275,0.1175633
KIAA1365,0.2123007,0.2067558,0.0208335,0.0331793,0.3421287,0.1055851,,0.1744418,0.2014822,0.0145498,0.0299543,0.4103461,0.0887944,,0.1268887,0.1970563,0.0185617,0.0228136,0.4772951,0.0912762
EIF4EBP2,0.1179114,0.0881795,0.0061462,0.0303481,0.1997448,0.2306759,,0.1360342,0.0992792,0.0048969,0.0107807,0.1915576,0.2478257,,0.1646964,0.0638169,0.005941,0.0170755,0.2078771,0.243602
